config,window,units,layers,dropout,ticker,MAE,MSE,RMSE,MAPE
Combination_015,20,64,1,0.3,BBTN,27.812159286836813,1588.278984888413,39.853217999158026,2.2889438846984893
Combination_015,20,64,1,0.3,BMRI,89.10506139341874,13482.15814650362,116.1126958885359,1.9043386629432109
Combination_015,20,64,1,0.3,ITMG,215.66645732457687,84718.19390641568,291.06390003986354,0.9553959575553752
Combination_015,20,64,1,0.3,MEDC,33.18024389258185,2042.491336110436,45.19393030165042,2.516253438708866
Combination_015,20,64,1,0.3,PGAS,25.71773218594008,1326.3279603860994,36.41878581702168,1.5174061633878846
Combination_015,20,64,1,0.3,PTBA,27.19881515065543,2914.214716960462,53.983467070580616,1.1305213647657373
Combination_016,20,64,1,0.4,ADRO,40.969365532342486,3259.2650136470456,57.08997296940196,2.2348123642232545
Combination_016,20,64,1,0.4,BBCA,113.79088817526107,26450.548218888445,162.63624509588396,1.3835997222518783
Combination_016,20,64,1,0.4,BBNI,75.15194208501917,9727.539861285672,98.62829138378945,1.7840369247444434
Combination_016,20,64,1,0.4,BBRI,74.62755048910626,9328.504249744385,96.58418219224298,1.93636016363826
Combination_016,20,64,1,0.4,BBTN,27.997709555502382,1604.568479130165,40.05706528354474,2.304741670798377
Combination_016,20,64,1,0.4,BMRI,90.95099795207696,14335.271643722628,119.72999475370668,1.935908064538496
Combination_016,20,64,1,0.4,ITMG,333.43219652021526,175271.27575746717,418.6541242570855,1.474107536590213
Combination_016,20,64,1,0.4,MEDC,31.0626719794239,1662.7586891260828,40.77693820195532,2.355757180716293
Combination_016,20,64,1,0.4,PGAS,27.00754911779499,1452.2270361269473,38.10809672663997,1.5857863231764266
Combination_016,20,64,1,0.4,PTBA,30.872090478166403,3127.854234941892,55.92722266429732,1.287379120004435
Combination_017,20,64,2,0.1,ADRO,48.516010529489,4691.010188682437,68.4909496844834,2.6432108124238183
Combination_017,20,64,2,0.1,BBCA,110.301487104927,26309.1311718268,162.20089756788278,1.337496574246701
Combination_017,20,64,2,0.1,BBNI,72.75977124413146,8900.62392937745,94.34311808169926,1.7269396633209806
Combination_017,20,64,2,0.1,BBRI,66.50403459682981,7944.308417432997,89.13084997593705,1.7219032604662172
Combination_017,20,64,2,0.1,BBTN,25.46547573710675,1364.2332507990325,36.935528299985535,2.093789562984449
Combination_017,20,64,2,0.1,BMRI,85.65414050071357,11782.210034742666,108.54588907343596,1.828004635520424
Combination_017,20,64,2,0.1,ITMG,242.43862520662145,100106.25567741366,316.3957263893014,1.0729285159686337
Combination_017,20,64,2,0.1,MEDC,35.55790718029982,2237.911125098733,47.3065653487836,2.693529222136843
Combination_017,20,64,2,0.1,PGAS,24.78694169641397,1244.9000503944458,35.283141163938986,1.4606697652489735
Combination_017,20,64,2,0.1,PTBA,24.838256650477003,2447.0752994844283,49.46792192405528,1.032607978763624
Combination_018,20,64,2,0.2,ADRO,62.99188563506382,6594.788709189202,81.20830443488647,3.4187150345876827
Combination_018,20,64,2,0.2,BBCA,124.5621822206236,33953.409112487345,184.2645085535664,1.5101765101942075
Combination_018,20,64,2,0.2,BBNI,74.84259957032238,9785.97460855638,98.924085078187,1.7727855158277228
Combination_018,20,64,2,0.2,BBRI,67.39844049573033,8176.660603801482,90.4248892938304,1.7444489961321097
Combination_018,20,64,2,0.2,BBTN,32.41972510554149,2283.339535691635,47.78430218902056,2.670575365710227
Combination_018,20,64,2,0.2,BMRI,89.6057544230557,12441.235546571108,111.54028665272072,1.9150950526713475
