time,open,high,low,close,Volume
2023-05-11,3500,3510,3420,3440,18152300
2023-05-12,3440,3460,3400,3400,12686600
2023-05-15,3400,3460,3380,3410,12768700
2023-05-16,3430,3450,3340,3370,14900200
2023-05-17,3370,3370,3250,3270,37628000
2023-05-19,3250,3250,3100,3120,42843500
2023-05-22,3140,3220,3140,3160,33259700
2023-05-23,3160,3250,3150,3150,22377000
2023-05-24,3150,3190,3110,3110,15437000
2023-05-25,3050,3090,3010,3010,38492400
2023-05-26,3000,3060,2930,2940,30321200
2023-05-29,2980,2980,2840,2960,36353800
2023-05-30,2960,3120,2930,3090,32155000
2023-05-31,3040,3100,2990,3060,28573300
2023-06-05,3090,3170,3080,3150,22083900
2023-06-06,3240,3300,3200,3280,41215500
2023-06-07,3260,3260,3170,3190,34914800
2023-06-08,3230,3310,3210,3300,26853300
2023-06-09,3320,3390,3270,3380,28334100
2023-06-12,3390,3540,3390,3530,44733700
2023-06-13,3520,3550,3460,3490,51190800
2023-06-14,3510,3530,3440,3480,41838600
2023-06-15,3490,3640,3460,3630,97154700
2023-06-16,4000,4060,3820,3820,284014900
2023-06-19,3820,3870,3770,3790,63449900
2023-06-20,3810,3870,3810,3850,62961300
2023-06-21,3870,3880,3840,3850,62196700
2023-06-22,3850,3870,3750,3780,111652300
2023-06-23,3780,3810,3680,3700,225347500
2023-06-26,3150,3150,3150,3150,4857300
2023-06-27,2680,2680,2680,2680,64240800
2023-07-03,2670,2750,2660,2720,116323100
2023-07-04,2730,2750,2720,2730,33908200
2023-07-05,2740,2810,2740,2780,47096400
2023-07-06,2790,2830,2790,2810,33725200
2023-07-07,2800,2800,2760,2770,26853600
2023-07-10,2770,2800,2770,2780,20234400
2023-07-11,2770,2770,2730,2760,24286200
2023-07-12,2760,2760,2730,2730,26430800
2023-07-13,2720,2740,2710,2740,16924300
2023-07-14,2740,2790,2740,2770,22841800
2023-07-17,2790,2810,2780,2790,20966500
2023-07-18,2790,2800,2750,2750,18342300
2023-07-20,2770,2790,2760,2770,9100600
2023-07-21,2780,2800,2770,2790,16007800
2023-07-24,2820,2880,2800,2880,52006600
2023-07-25,2890,2910,2840,2850,51691700
2023-07-26,2860,2890,2850,2880,25935800
2023-07-27,2880,2880,2830,2830,19767500
2023-07-28,2820,2820,2760,2800,15406900
2023-07-31,2790,2820,2760,2770,25251600
2023-08-01,2770,2790,2730,2730,23270900
2023-08-02,2730,2760,2720,2740,13491800
2023-08-03,2740,2760,2730,2740,8719400
2023-08-04,2760,2810,2760,2780,17940600
2023-08-07,2780,2790,2760,2770,8800700
2023-08-08,2780,2800,2760,2770,12922800
2023-08-09,2770,2800,2760,2780,12224700
2023-08-10,2800,2820,2780,2790,13457600
2023-08-11,2800,2800,2770,2770,9851300
2023-08-14,2770,2790,2750,2780,11758100
2023-08-15,2780,2810,2770,2790,15620300
2023-08-16,2800,2800,2770,2770,8954600
2023-08-18,2780,2820,2770,2790,21852700
2023-08-21,2800,2820,2790,2800,19218000
2023-08-22,2810,2990,2810,2990,116091200
2023-08-23,3010,3070,3010,3020,64887800
2023-08-24,3000,3020,2950,2950,35075400
2023-08-25,2940,2950,2880,2910,19594600
2023-08-28,2930,2980,2930,2970,17600500
2023-08-29,3000,3010,2960,2960,25740000
2023-08-30,2930,2940,2880,2910,26862600
2023-08-31,2900,2900,2850,2860,17422300
2023-09-01,2860,2890,2850,2880,9102500
2023-09-04,2880,2960,2880,2920,24017100
2023-09-05,2920,2960,2900,2930,21273000
2023-09-06,2950,3000,2940,2990,40392900
2023-09-07,2970,2980,2920,2920,23288700
